window,t_start_s,t_end_s,n,rate_mg_min,jitter_mg,shocks
survey,9.127,98.828,170,-11.2079041793299,0.879700648675314,0
trial1,125.228,138.802,27,-13.491750409066611,0.20709822874751765,0
trial2,441.869,456.585,47,-30.92447184555606,0.5503744355983725,0
trial3,731.918,746.828,48,-24.396922605598057,0.2014954340278597,0
trial4,1049.598,1064.516,41,-23.116094835683878,0.6011244812827496,0
trial5,1367.584,1382.491,37,-20.291938075283348,0.343536222230305,0
trial6,1741.691,1755.646,43,-15.278202594385528,0.4473364270260726,0
endsurvey,2125.555,2185.223,89,-1.6582031399712613,0.5735657515863137,0
