powder_id,block,started_utc,started_local,elapsed_s
xanthan-gum,A,2026-08-06T14:02:56.244140+00:00,2026-08-06 08:02:56 MDT,2.2
xanthan-gum,B,2026-08-06T14:03:18.399687+00:00,2026-08-06 08:03:18 MDT,24.3
xanthan-gum,C,2026-08-06T14:04:19.797070+00:00,2026-08-06 08:04:19 MDT,85.7
xanthan-gum,D,2026-08-06T14:06:32.824025+00:00,2026-08-06 08:06:32 MDT,218.7
xanthan-gum,E,2026-08-06T14:07:06.107105+00:00,2026-08-06 08:07:06 MDT,252.0
xanthan-gum,F,2026-08-06T14:09:38.158406+00:00,2026-08-06 08:09:38 MDT,404.1
xanthan-gum,G,2026-08-06T14:09:38.165826+00:00,2026-08-06 08:09:38 MDT,404.1
