M,experiment,afterflow-battery-C6-C8-B4
M,powder_id,salt
M,cap_g,46.0
M,hard_g,48.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g,127.98
M,planned_trials,55
E,1229,noise baseline: tare, 20 s static raw stream
P,1779,0,0.0,0,tare0,0.0000
D,15164,0,noise,-0.0003,S,0,0
D,15260,0,noise,-0.0003,S,0,0
D,15356,0,noise,-0.0003,S,0,0
D,15452,0,noise,-0.0003,S,0,0
D,15546,0,noise,-0.0003,S,0,0
D,15641,0,noise,-0.0003,S,0,0
D,15737,0,noise,-0.0003,S,0,0
D,15833,0,noise,-0.0003,S,0,0
D,15929,0,noise,-0.0003,S,0,0
D,16025,0,noise,-0.0003,S,0,0
D,16121,0,noise,-0.0003,S,0,0
D,16217,0,noise,-0.0003,S,0,0
D,16312,0,noise,-0.0003,S,0,0
D,16406,0,noise,-0.0003,S,0,0
D,16502,0,noise,-0.0003,S,0,0
D,16598,0,noise,-0.0003,S,0,0
D,16694,0,noise,-0.0003,S,0,0
D,16790,0,noise,-0.0003,S,0,0
D,16885,0,noise,-0.0003,S,0,0
D,16981,0,noise,-0.0003,S,0,0
D,17077,0,noise,-0.0003,S,0,0
D,17173,0,noise,-0.0003,S,0,0
D,17269,0,noise,-0.0003,S,0,0
D,17363,0,noise,-0.0003,S,0,0
D,17459,0,noise,-0.0003,S,0,0
D,17555,0,noise,-0.0003,S,0,0
D,17650,0,noise,-0.0003,S,0,0
D,17746,0,noise,-0.0003,S,0,0
D,17842,0,noise,-0.0003,S,0,0
D,17938,0,noise,-0.0003,S,0,0
D,18034,0,noise,-0.0003,S,0,0
D,18129,0,noise,-0.0003,S,0,0
D,18223,0,noise,-0.0003,S,0,0
D,18319,0,noise,-0.0003,S,0,0
D,18415,0,noise,-0.0003,S,0,0
D,18511,0,noise,-0.0003,S,0,0
D,18607,0,noise,-0.0003,S,0,0
D,18702,0,noise,-0.0003,S,0,0
D,18799,0,noise,-0.0003,S,0,0
D,18894,0,noise,-0.0003,S,0,0
D,18990,0,noise,-0.0003,S,0,0
D,19086,0,noise,-0.0003,S,0,0
D,19180,0,noise,-0.0003,S,0,0
D,19276,0,noise,-0.0003,S,0,0
D,19371,0,noise,-0.0003,S,0,0
D,19467,0,noise,-0.0003,S,0,0
D,19563,0,noise,-0.0003,S,0,0
D,19659,0,noise,-0.0003,S,0,0
D,19755,0,noise,-0.0003,S,0,0
D,19851,0,noise,-0.0003,S,0,0
D,19947,0,noise,-0.0003,S,0,0
D,20040,0,noise,-0.0003,S,0,0
D,20136,0,noise,-0.0003,S,0,0
D,20232,0,noise,-0.0003,S,0,0
D,20328,0,noise,-0.0003,S,0,0
D,20424,0,noise,-0.0003,S,0,0
D,20520,0,noise,-0.0002,S,0,0
