M,experiment,afterflow-battery-C6-C8-B4-B5
M,powder_id,salt
M,cap_g,33.0
M,hard_g,35.0
M,standing_load_g_pretare,63.5
M,scale_max_g,102.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g_original,127.98
M,dispensed_prior_attempt_g,10.16
M,total_onboard_est_g,117.82
M,salt_remaining_est_g,61.1
M,restart,attempt-2-after-operator-reset
M,planned_trials,58
E,1233,noise baseline: tare, 20 s static raw stream
P,3217,0,0.0,0,tare0,0.0004
D,16125,0,noise,0.0036,U,0,0
D,16221,0,noise,0.0029,U,0,0
D,16317,0,noise,0.0023,U,0,0
D,16413,0,noise,0.0019,U,0,0
D,16509,0,noise,0.0016,U,0,0
D,16602,0,noise,0.0014,U,0,0
D,16698,0,noise,0.0014,U,0,0
D,16794,0,noise,0.0013,U,0,0
D,16890,0,noise,0.0014,U,0,0
D,16986,0,noise,0.0014,U,0,0
D,17082,0,noise,0.0014,S,0,0
D,17178,0,noise,0.0015,U,0,0
D,17274,0,noise,0.0016,U,0,0
D,17369,0,noise,0.0017,U,0,0
D,17465,0,noise,0.0020,U,0,0
D,17559,0,noise,0.0054,U,0,0
D,17655,0,noise,0.0051,U,0,0
D,17750,0,noise,0.0042,U,0,0
D,17846,0,noise,0.0036,U,0,0
D,17942,0,noise,0.0032,U,0,0
D,18038,0,noise,0.0028,U,0,0
D,18134,0,noise,0.0014,U,0,0
D,18230,0,noise,0.0013,U,0,0
D,18325,0,noise,0.0012,U,0,0
D,18419,0,noise,0.0012,U,0,0
D,18515,0,noise,0.0013,U,0,0
D,18611,0,noise,0.0014,U,0,0
D,18707,0,noise,0.0014,U,0,0
D,18803,0,noise,0.0014,U,0,0
D,18899,0,noise,0.0012,U,0,0
D,18995,0,noise,0.0011,U,0,0
D,19090,0,noise,0.0011,U,0,0
D,19186,0,noise,0.0010,U,0,0
D,19280,0,noise,0.0010,U,0,0
D,19376,0,noise,0.0009,U,0,0
D,19472,0,noise,0.0009,U,0,0
D,19568,0,noise,0.0008,U,0,0
D,19664,0,noise,0.0008,U,0,0
D,19759,0,noise,0.0007,U,0,0
D,19856,0,noise,0.0007,U,0,0
D,19951,0,noise,0.0007,U,0,0
D,20047,0,noise,0.0007,S,0,0
D,20143,0,noise,0.0007,S,0,0
D,20237,0,noise,0.0007,S,0,0
D,20333,0,noise,0.0006,S,0,0
D,20428,0,noise,0.0005,U,0,0
D,20524,0,noise,0.0004,U,0,0
D,20620,0,noise,0.0003,U,0,0
D,20716,0,noise,0.0002,U,0,0
D,20812,0,noise,0.0001,U,0,0
D,20908,0,noise,0.0001,U,0,0
D,21004,0,noise,0.0000,U,0,0
D,21097,0,noise,0.0000,U,0,0
D,21193,0,noise,-0.0001,U,0,0
D,21289,0,noise,-0.0001,U,0,0
D,21385,0,noise,-0.0002,U,0,0
D,21481,0,noise,-0.0002,U,0,0
D,21577,0,noise,-0.0002,U,0,0
D,21673,0,noise,-0.0001,S,0,0
D,21769,0,noise,-0.0001,S,0,0
D,21864,0,noise,0.0000,U,0,0
D,21960,0,noise,0.0001,U,0,0
D,22054,0,noise,0.0003,U,0,0
D,22150,0,noise,0.0004,U,0,0
D,22246,0,noise,0.0005,U,0,0
D,22342,0,noise,0.0006,U,0,0
D,22437,0,noise,0.0009,U,0,0
D,22533,0,noise,0.0011,U,0,0
D,22629,0,noise,0.0013,U,0,0
D,22725,0,noise,0.0015,U,0,0
D,22821,0,noise,0.0016,U,0,0
D,22914,0,noise,0.0018,U,0,0
D,23010,0,noise,0.0019,U,0,0
D,23106,0,noise,0.0021,U,0,0
D,23202,0,noise,0.0023,U,0,0
P,25019,0,0.0,0,settled,0.0027
P,26359,0,0.0,0,settled,0.0034
P,26752,0,0.0,0,settled,0.0034
P,27697,0,0.0,0,settled,0.0040
P,29801,0,0.0,0,settled,0.0060
E,30103,noise baseline done
E,30105,=== trial 1 : B5 tilt 55.0 rep 1 rpm 55 halt 0.00 mode cont (cum 0.00 g) ===
P,40320,1,55.0,1,tare0,0.0024
D,40416,1,preroll,0.0024,S,0,0
D,40512,1,preroll,0.0024,S,0,0
D,40608,1,preroll,0.0025,S,0,0
D,40704,1,preroll,0.0026,U,0,0
D,40800,1,preroll,0.0026,U,0,0
D,40894,1,preroll,0.0026,U,0,0
D,40989,1,preroll,0.0026,U,0,0
D,41085,1,preroll,0.0026,S,0,0
D,41181,1,preroll,0.0026,S,0,0
D,41277,1,preroll,0.0025,S,0,0
D,41373,1,preroll,0.0024,U,0,0
D,41469,1,preroll,0.0023,U,0,0
D,41564,1,preroll,0.0021,U,0,0
D,41660,1,preroll,0.0021,U,0,0
D,41754,1,preroll,0.0020,U,0,0
D,41850,1,preroll,0.0019,U,0,0
E,41915,dispense start: mode cont rpm 55
D,41946,1,dispense,0.0018,U,55,0
D,42051,1,dispense,0.0018,U,55,0
D,42143,1,dispense,0.0018,U,55,0
D,42236,1,dispense,0.0017,U,55,0
D,42329,1,dispense,0.0016,U,55,0
D,42425,1,dispense,0.0016,U,55,0
D,42521,1,dispense,0.0014,U,55,0
D,42616,1,dispense,-0.0045,U,55,0
D,42710,1,dispense,-0.0092,U,55,0
D,42806,1,dispense,-0.0129,U,55,0
D,42902,1,dispense,-0.0137,U,55,0
D,42998,1,dispense,-0.0119,U,55,0
D,43095,1,dispense,-0.0097,U,55,0
D,43189,1,dispense,-0.0093,U,55,0
D,43285,1,dispense,-0.0100,U,55,0
D,43381,1,dispense,-0.0106,U,55,0
D,43477,1,dispense,-0.0105,U,55,0
D,43571,1,dispense,-0.0098,U,55,0
D,43667,1,dispense,-0.0020,U,55,0
D,43763,1,dispense,0.0063,U,55,0
D,43858,1,dispense,0.0222,U,55,0
D,43954,1,dispense,0.0485,U,55,0
D,44050,1,dispense,0.0829,U,55,0
D,44146,1,dispense,0.1178,U,55,0
D,44242,1,dispense,0.1455,U,55,0
D,44338,1,dispense,0.1624,U,55,0
D,44433,1,dispense,0.1697,U,55,0
D,44527,1,dispense,0.1715,U,55,0
D,44623,1,dispense,0.1713,U,55,0
D,44719,1,dispense,0.1720,U,55,0
D,44815,1,dispense,0.1760,U,55,0
D,44911,1,dispense,0.1860,U,55,0
D,45006,1,dispense,0.2044,U,55,0
D,45102,1,dispense,0.2314,U,55,0
D,45198,1,dispense,0.2643,U,55,0
D,45294,1,dispense,0.2981,U,55,0
D,45388,1,dispense,0.3265,U,55,0
D,45484,1,dispense,0.3460,U,55,0
D,45580,1,dispense,0.3571,U,55,0
D,45675,1,dispense,0.3637,U,55,0
D,45771,1,dispense,0.3695,U,55,0
D,45867,1,dispense,0.3756,U,55,0
D,45963,1,dispense,0.3828,U,55,0
D,46059,1,dispense,0.3941,U,55,0
D,46155,1,dispense,0.4127,U,55,0
D,46248,1,dispense,0.4386,U,55,0
D,46344,1,dispense,0.4675,U,55,0
D,46440,1,dispense,0.4940,U,55,0
D,46536,1,dispense,0.5143,U,55,0
D,46632,1,dispense,0.5270,U,55,0
D,46728,1,dispense,0.5329,U,55,0
D,46824,1,dispense,0.5347,U,55,0
D,46919,1,dispense,0.5370,U,55,0
D,47015,1,dispense,0.5442,U,55,0
D,47111,1,dispense,0.5587,U,55,0
D,47205,1,dispense,0.5808,U,55,0
D,47301,1,dispense,0.6091,U,55,0
D,47397,1,dispense,0.6410,U,55,0
D,47492,1,dispense,0.6736,U,55,0
D,47588,1,dispense,0.7022,U,55,0
D,47684,1,dispense,0.7220,U,55,0
D,47780,1,dispense,0.7315,U,55,0
D,47876,1,dispense,0.7346,U,55,0
D,47972,1,dispense,0.7371,U,55,0
D,48066,1,dispense,0.7425,U,55,0
E,48070,continuous 6.1 s done
D,48162,1,settle,0.7511,U,0,0
D,48257,1,settle,0.7626,U,0,0
D,48353,1,settle,0.7784,U,0,0
D,48449,1,settle,0.8008,U,0,0
D,48545,1,settle,0.8286,U,0,0
D,48641,1,settle,0.8563,U,0,0
D,48736,1,settle,0.8766,U,0,0
D,48832,1,settle,0.8858,U,0,0
D,48928,1,settle,0.8854,U,0,0
D,49022,1,settle,0.8805,U,0,0
D,49118,1,settle,0.8754,U,0,0
D,49214,1,settle,0.8721,U,0,0
D,49309,1,settle,0.8708,U,0,0
D,49405,1,settle,0.8711,U,0,0
D,49501,1,settle,0.8725,U,0,0
D,49597,1,settle,0.8740,U,0,0
D,49693,1,settle,0.8749,U,0,0
