M,script,balance_stream
M,duration_s,55.0
M,poll_ms,60
M,output_file,balance_capture_5g_10ad.csv
D,38643,-0.0015,U
D,38930,-0.0015,U
D,39134,-0.0016,U
E,39184,progress: 25 s remaining
D,39408,-0.0013,U
D,39611,-0.0011,U
D,39791,-0.0008,U
D,39983,0.0756,U
D,40172,0.8418,U
D,40373,2.9357,U
D,40556,4.6385,U
D,40747,5.0078,U
D,40950,5.0096,U
D,41225,5.0074,U
D,41425,5.0076,U
D,41608,5.0081,U
D,41809,5.0377,U
D,41991,5.2246,U
D,42193,6.0257,U
D,42374,7.8560,U
D,42573,6.5475,U
D,42756,2.0324,U
D,42958,0.1734,U
D,43138,0.0016,U
D,43329,0.0002,U
D,43617,-0.0001,U
D,43806,0.0000,U
D,43998,0.0003,U
D,44190,0.0925,U
D,44382,1.0061,U
D,44583,3.1798,U
D,44766,3.8662,U
D,44955,2.0301,U
D,45146,0.5033,U
D,45348,1.0320,U
D,45529,3.4302,U
D,45720,7.3464,U
D,46011,10.0013,U
D,46202,3.4828,U
D,46389,0.3609,U
D,46580,0.5052,U
D,46772,2.3831,U
D,46964,4.4684,U
D,47155,5.0544,U
D,47345,5.0363,U
D,47537,5.0134,U
D,47728,5.0076,U
D,47932,5.0069,U
D,48115,5.0072,U
D,48407,5.0071,U
D,48589,5.0069,U
D,48792,5.0068,U
D,48974,5.0070,U
D,49162,5.0976,U
D,49365,5.7165,U
E,49421,progress: 14 s remaining
D,49649,4.6196,U
D,49835,1.3922,U
D,50023,0.1290,U
D,50214,0.0093,U
D,50406,0.0008,U
D,50696,-0.0006,U
D,50884,-0.0005,U
D,51075,-0.0004,U
D,51267,-0.0003,U
D,51463,0.0003,U
D,51653,0.1523,U
D,51840,1.2217,U
D,52032,3.4059,U
D,52223,4.7738,U
D,52417,5.0080,U
D,52604,5.0076,U
D,52796,5.0063,U
D,53095,5.0066,U
D,53281,5.0066,U
D,53467,5.0066,S
D,53659,5.0067,S
D,53848,5.0177,U
D,54040,5.3763,U
D,54232,7.3537,U
D,54422,8.2353,U
D,54613,3.8322,U
D,54805,0.5349,U
D,54997,0.0151,U
D,55188,0.0011,U
D,55485,0.0013,U
D,55673,0.0011,U
D,55860,0.0008,U
D,56049,0.0008,U
D,56239,0.0884,U
D,56430,0.9542,U
D,56622,2.9047,U
D,56814,3.0475,U
D,57006,1.1589,U
D,57195,0.1488,U
D,57387,0.0067,U
D,57579,-0.0070,U
D,57874,-0.0001,U
D,58061,0.0015,U
D,58249,0.0010,U
D,58439,0.0010,U
D,58631,-0.0268,U
D,58826,-0.1411,U
D,59016,-0.2525,U
D,59206,-0.2820,U
D,59396,-0.2371,U
D,59587,-0.1285,U
E,59624,progress: 4 s remaining
D,59777,-0.0743,U
D,60074,0.0000,U
D,60264,0.0051,U
D,60457,0.0015,U
D,60638,0.0042,U
D,60829,0.1564,U
D,61021,1.3021,U
D,61213,3.6162,U
D,61410,4.9186,U
D,61600,5.0441,U
D,61788,5.0155,U
D,61984,5.0088,U
D,62176,5.0090,U
D,62456,5.0094,U
D,62646,5.0093,U
D,62838,5.0091,U
D,63038,5.0089,U
D,63228,5.0087,U
D,63411,5.0086,U
D,63603,5.0084,U
D,63795,5.0083,U
P,64177,settled,5.0083
E,64219,done (283 samples)
