M,script,balance_stream
M,duration_s,55.0
M,poll_ms,60
M,output_file,balance_capture_10g_10l.csv
D,37211,0.0011,U
D,37411,0.0013,U
D,37690,0.0014,U
D,37880,0.0014,S
D,38080,0.0013,S
D,38265,0.0012,U
D,38455,0.0010,U
D,38647,0.0009,U
D,38837,0.0008,U
D,39037,0.0007,U
D,39221,0.0006,U
D,39412,0.0062,U
D,39601,0.2176,U
D,39898,3.8744,U
D,40081,8.1879,U
D,40272,9.9289,U
D,40462,10.0255,U
D,40664,10.0096,U
D,40845,10.0090,U
D,41047,10.0086,U
D,41234,10.0084,U
D,41418,10.0083,U
D,41610,10.0082,U
D,41802,10.0081,U
D,42101,10.0081,S
D,42288,10.0081,S
D,42472,10.0138,U
D,42662,10.0629,U
D,42854,9.7998,U
D,43046,7.3333,U
D,43235,2.8683,U
D,43437,0.4160,U
D,43620,0.0171,U
D,43810,0.0025,U
D,44002,0.0023,U
D,44299,0.0016,U
E,44354,progress: 14 s remaining
D,44580,0.0013,U
D,44767,0.0012,U
D,44957,0.0012,U
D,45149,0.0013,S
D,45340,0.0013,S
D,45532,0.0017,U
D,45723,0.0681,U
D,45913,0.2819,U
D,46105,0.6262,U
D,46404,3.6964,U
D,46691,8.8364,U
D,46869,9.8658,U
D,47061,10.0022,U
D,47253,10.0086,U
D,47445,10.0084,U
D,47634,10.0082,U
D,47826,10.0081,U
D,48018,10.0079,U
D,48210,10.0078,U
D,48401,10.0078,U
D,48697,10.0483,U
D,48885,10.1699,U
D,49073,8.7974,U
D,49264,4.2165,U
D,49452,0.7563,U
D,49643,0.0376,U
D,49835,0.0031,U
D,50027,0.0031,U
D,50218,0.0029,U
D,50408,0.0025,U
D,50600,0.0021,U
D,50897,0.0017,U
D,51087,0.0016,U
D,51274,0.0015,U
D,51469,0.0016,S
D,51658,0.0016,S
D,51852,0.0018,U
D,52038,0.0862,U
D,52225,0.8723,U
D,52416,3.6000,U
D,52608,7.3223,U
D,52800,9.4578,U
D,53086,10.0029,U
D,53282,10.0097,U
D,53471,10.0095,U
D,53661,10.0093,U
D,53850,10.0091,U
D,54042,10.0090,U
D,54234,10.0089,U
D,54425,10.0088,U
E,54461,progress: 4 s remaining
D,54617,10.0087,U
D,54810,10.0085,U
D,55095,10.0083,U
D,55287,9.9622,U
D,55483,9.0365,U
D,55673,5.4310,U
D,55864,1.4449,U
D,56051,0.1217,U
D,56248,0.0042,U
D,56440,0.0025,U
D,56627,0.0014,U
D,56824,0.0001,U
D,57016,-0.0004,U
D,57298,-0.0005,U
D,57488,-0.0003,U
D,57678,-0.0001,U
D,57869,0.0002,U
D,58060,0.0004,U
D,58252,0.0004,U
D,58446,0.0003,S
D,58637,0.0140,U
D,58831,0.2138,U
P,62075,settled,10.0079
E,62118,done (282 samples)
