M,script,balance_stream
M,duration_s,70.0
M,poll_ms,60
M,output_file,balance_capture_2g_10d.csv
D,57723,0.0028,U
D,57915,0.0029,U
D,58105,0.0030,U
D,58297,0.0031,U
D,58488,0.0031,S
D,58680,0.0031,S
D,58969,0.0031,S
D,59157,0.0030,S
D,59349,0.0029,U
D,59541,0.0029,S
D,59732,0.0029,S
D,59922,0.0028,S
E,59959,progress: 19 s remaining
D,60114,0.0028,S
D,60305,0.0026,U
D,60497,0.0026,U
D,60689,0.0027,S
D,60878,0.0027,S
D,61076,0.0027,S
D,61266,0.0027,S
D,61454,0.0028,S
D,61645,0.0028,S
D,61835,0.0028,S
D,62027,0.0027,S
D,62218,0.0027,S
D,62411,0.0027,S
D,62602,0.0027,S
D,62792,0.0027,S
D,62984,0.0026,S
D,63175,0.0026,S
D,63461,0.0026,S
D,63654,0.0026,S
D,63844,0.0026,S
D,64036,0.0026,S
D,64228,0.0026,S
D,64420,0.0026,S
D,64612,0.0029,U
D,64802,0.0030,U
D,64993,0.0030,U
D,65184,0.0030,S
D,65375,0.0030,S
D,65565,0.0030,S
D,65852,0.0029,S
D,66046,0.0028,U
D,66237,0.0028,S
D,66431,0.0027,U
D,66624,0.0025,U
D,66815,0.0024,U
D,67005,0.0024,S
D,67194,0.0023,S
D,67384,0.0023,S
D,67574,0.0023,S
D,67767,0.0023,S
D,67962,0.0024,S
D,68243,0.0025,U
D,68434,0.0025,S
D,68629,0.0025,S
D,68819,0.0025,S
D,69017,0.0024,S
D,69208,0.0024,S
D,69403,0.0023,S
D,69583,0.0023,S
D,69778,0.0023,S
D,69970,0.0023,S
E,70014,progress: 9 s remaining
D,70156,0.0023,S
D,70445,0.0024,S
D,70641,0.0029,U
D,70824,0.0031,U
D,71025,0.0033,U
D,71216,0.0034,U
D,71410,0.0035,U
D,71589,0.0035,S
D,71782,0.0035,S
D,71977,0.0034,S
D,72164,0.0034,S
D,72356,0.0033,S
D,72552,0.0033,S
D,72845,0.0033,S
D,73025,0.0033,S
D,73221,0.0033,S
D,73416,0.0033,S
D,73598,0.0033,S
D,73794,0.0033,S
D,73989,0.0032,S
D,74171,0.0029,U
D,74366,0.0028,U
D,74559,0.0027,U
D,74754,0.0026,U
D,74938,0.0025,U
D,75227,0.0024,U
D,75423,0.0023,U
D,75617,0.0023,S
D,75798,0.0023,S
D,75993,0.0023,S
D,76180,0.0024,S
D,76375,0.0024,S
D,76571,0.0024,S
D,76764,0.0024,S
D,76945,0.0024,S
D,77144,0.0024,S
D,77328,0.0024,S
D,77624,0.0024,S
D,77805,0.0024,S
D,78001,0.0025,S
D,78197,0.0025,S
D,78380,0.0029,U
D,78574,0.0029,U
D,78771,0.0029,U
D,78953,0.0029,S
D,79148,0.0029,S
P,79347,settled,0.0029
E,79393,done (359 samples)
