file,condition,event,t_up,t0,tau,r2,delta_g,top_dur_s,partial,overshoot_mg,settle_2mg_s,stable_latency_s
balance_capture_10g_10d.csv,10 g drop,3,11.19,11.11298449532687,0.0774045003994262,0.9706431684634752,10.0085,2.77,False,188.4,0.8490155046731296,1.98601550467313
balance_capture_10g_10d.csv,10 g drop,4,16.16,15.919981679001387,0.1648051502984927,0.9988980405454227,10.0087,2.78,False,222.9,1.206018320998611,nan
balance_capture_10g_10d.csv,10 g drop,5,21.13,20.900611589186617,0.18699845613604502,0.9682853894413594,10.0055,2.97,False,110.2,1.0033884108133861,2.047388410813383
balance_capture_10g_10d.csv,10 g drop,6,26.49,26.25811796671969,0.22016027669645885,0.9962528903317528,10.0071,2.19,False,101.9,0.9928820332803063,2.2428820332803063
balance_capture_10g_10d.csv,10 g drop,7,31.65,31.409627048443745,0.18284958575767876,0.9981849354247743,10.0071,2.2,False,22.5,0.9173729515562528,1.8673729515562556
balance_capture_10g_10d.csv,10 g drop,8,37.1,36.785367421481176,0.15639552873068804,0.9993733574798873,10.0092,1.91,False,30.6,0.8906325785188187,2.041632578518822
balance_capture_10g_10d.csv,10 g drop,9,41.79,41.71756714809457,0.08974706871291935,0.9385787183935836,10.0089,2.77,False,76.7,0.8344328519054329,1.7914328519054337
balance_capture_10g_10d.csv,10 g drop,10,47.15,46.884161862473526,0.14430986277248903,0.9973613021019243,10.0085,1.82,False,146.4,0.831838137526475,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),1,1.81,1.6433220341616588,0.1668590832207541,0.9979995988147087,5.0061,1.54,False,39.2,0.9306779658383411,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),2,6.11,5.863625789426114,0.15817646283260003,0.9985685474091323,5.0088,2.2,False,49.2,0.9233742105738871,2.069374210573888
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),3,11.18,10.85408847331876,0.14955782005004473,0.9992445817000496,5.0075,1.54,False,20.5,0.9039115266812416,1.67291152668124
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),4,15.96,15.655181843868657,0.19579288866583738,0.9973138340801345,5.0078,2.39,False,265.5,1.0718181561313465,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),5,21.13,20.875373498201963,0.1473000339589798,0.997291967874082,5.0058,2.02,False,262.8,0.82762650179804,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),6,26.1,25.846705942157893,0.11369439610900922,0.9968708187907119,5.006,2.4,False,72.7,1.0162940578421065,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),7,31.56,31.320568812570638,0.2271842049785829,0.9949595000239748,5.0099,1.62,False,215.7,0.6114311874293641,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),8,35.77,nan,nan,nan,3.5227,0.18,True,,nan,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),9,36.71,nan,nan,nan,5.3676,0.67,True,,nan,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),10,38.15,37.89464177593643,0.11661012490623475,-0.37905748100542946,4.5038,2.2,False,90.4,1.0183582240635758,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),11,43.22,42.97463943739982,0.19010347449997061,0.9979794680480046,5.0064,1.82,False,11.0,0.627360562600181,1.6773605626001782
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),12,47.81,nan,nan,nan,2.975,0.19,True,,nan,nan
balance_capture_5g_10ad.csv,5 g alt drop (5-20 mm),13,52.4,52.15610234001729,0.1691696628336282,0.9981592672202247,5.0356,2.58,False,35.3,1.0128976599827126,nan
balance_capture_10g_10l.csv,10 g lay-down,1,1.62,1.364462000584761,0.18627686080328026,0.9859657091750299,10.0076,2.87,False,28.7,0.8265379994152393,2.5495379994152394
balance_capture_10g_10l.csv,10 g lay-down,2,8.12,7.839430274528031,0.14504734915890694,0.9351324563982849,10.0069,3.35,False,244.7,0.8575697254719703,1.8115697254719692
balance_capture_10g_10l.csv,10 g lay-down,3,14.34,14.008684373808062,0.1895943399751661,0.9800684128844265,10.0066,3.53,False,2.1,1.479315626191939,nan
balance_capture_10g_10l.csv,10 g lay-down,4,21.51,21.264730639156586,0.14322533997825188,0.9235211000078615,10.0076,2.96,False,0.1,0.821269360843413,1.3982693608434147
balance_capture_10g_10l.csv,10 g lay-down,5,28.69,28.399405544433076,0.2059771769747036,0.9874539064202751,10.0047,3.25,False,2.7,1.3335944555669244,2.8665944555669256
balance_capture_10g_10l.csv,10 g lay-down,6,36.14,35.895363814013145,0.12629243370254256,0.97840997284331,10.0071,2.96,False,54.7,0.8286361859868592,2.265636185986857
balance_capture_10g_10l.csv,10 g lay-down,7,42.75,42.393587608826856,0.15188509754506319,0.9933730122181326,10.0062,2.38,False,162.0,0.9194123911731467,nan
balance_capture_10g_10l.csv,10 g lay-down,8,48.67,48.400953131396726,0.16456809049949905,0.9426878251350239,10.0065,3.07,False,1.1,0.9410468686032729,nan
