file,condition,event,t_up,t0,tau,r2,delta_g,top_dur_s,partial,overshoot_mg,settle_2mg_s,stable_latency_s
balance_capture_2g_10d.csv,2 g drop,1,1.15,0.8093573707175016,0.20301844084773663,0.9952260001025226,2.002,1.81,False,132.7,0.6166426292824986,1.5736426292824977
balance_capture_2g_10d.csv,2 g drop,2,4.3,nan,nan,nan,1.5713,2.01,True,,nan,nan
balance_capture_2g_10d.csv,2 g drop,3,9.08,8.83589860554461,0.1507552243156246,0.9984128754800351,2.001,2.2,False,39.4,0.9111013944553878,1.4891013944553908
balance_capture_2g_10d.csv,2 g drop,4,14.05,13.793948235039558,0.18493511195460094,0.9947587443643975,2.002,2.68,False,240.5,0.5450517649604425,1.503051764960441
balance_capture_2g_10d.csv,2 g drop,5,19.89,19.604150565664845,0.13147650623453672,0.994547949794345,2.0012,2.2,False,117.8,0.6618494343351529,nan
balance_capture_2g_10d.csv,2 g drop,6,24.67,24.450633098862212,0.22354991533218713,0.9917412620634303,2.0026,2.39,False,235.9,0.9793669011377872,1.6483669011377842
balance_capture_2g_10d.csv,2 g drop,7,30.02,29.772748165568515,0.16085027878852537,0.9963227655052157,2.0017,1.82,False,194.7,0.6292518344314857,nan
balance_capture_2g_10d.csv,2 g drop,8,34.61,34.34963433382378,0.14691627524070605,0.9980037646624509,2.0023,1.64,False,11.7,0.6513656661762184,1.5033656661762151
balance_capture_2g_10d.csv,2 g drop,9,39.02,38.776661384810545,0.2085270785394796,0.9960630623077703,2.0032,3.72,False,161.8,1.9543386151894495,3.101338615189455
balance_capture_5g_10d.csv,5 g drop,1,2.1,1.854948223351762,0.18310470278362792,0.998089918590226,5.0069,1.54,False,7.0,0.8290517766482381,nan
balance_capture_5g_10d.csv,5 g drop,2,6.7,6.436237177495225,0.18249277080712628,0.9982053679883955,5.008,2.48,False,173.0,0.9237628225047754,1.688762822504775
balance_capture_5g_10d.csv,5 g drop,3,12.14,11.911642371466398,0.20665195650340748,0.9967497429213711,5.009,2.49,False,18.7,0.611357628533602,1.760357628533603
balance_capture_5g_10d.csv,5 g drop,4,17.4,17.147156791085933,0.16225923906672446,0.9982092234442193,5.0086,2.68,False,101.2,0.8278432089140679,nan
balance_capture_5g_10d.csv,5 g drop,5,23.14,22.869667886613644,0.1326102686185115,0.9962476042116106,5.0074,2.01,False,1.0,0.7483321133863576,1.9923321133863574
balance_capture_5g_10d.csv,5 g drop,6,28.4,28.154500768351866,0.19324900693999883,0.9982589546552465,5.0068,2.01,False,84.7,1.010499231648133,nan
balance_capture_5g_10d.csv,5 g drop,7,33.67,33.32712815637224,0.1351068919144601,0.9998542868568521,5.0067,1.71,False,34.6,0.9058718436277573,1.4788718436277577
balance_capture_5g_10d.csv,5 g drop,8,38.06,38.04420603907811,0.02000148034012149,0.9587088274544477,5.0078,2.68,False,65.3,0.5927939609218882,1.8317939609218854
balance_capture_5g_10d.csv,5 g drop,9,42.84,42.48714202635796,0.11311005089756583,0.9996497372787964,5.0079,1.72,False,19.3,0.9278579736420411,1.7878579736420406
balance_capture_5g_10d.csv,5 g drop,10,47.44,47.08919082420264,0.11718398561549558,0.9997243494665561,5.0028,2.29,False,1.9,0.6268091757973551,2.062809175797355
balance_capture_10g_10d.csv,10 g drop,1,1.91,1.6763161824654373,0.20642802821801462,0.9950147585706675,10.0083,1.43,False,71.5,0.9066838175345628,nan
balance_capture_10g_10d.csv,10 g drop,2,6.31,6.088225792110607,0.21753884616235902,0.9803263483938315,10.0079,2.39,False,106.7,0.892774207889393,1.8457742078893924
