M,script,balance_stream
M,duration_s,55.0
M,poll_ms,60
M,output_file,balance_capture_10g_10d.csv
P,111,pretare,0.0009
E,616,tared
P,1821,tare0,-0.0002
E,1825,streaming for 55.0 s -- raw frames follow
D,1920,-0.0002,S
D,2013,-0.0003,S
D,2213,-0.0006,U
D,2394,-0.0008,U
D,2490,-0.0008,U
D,2586,-0.0009,U
D,2682,-0.0010,U
D,2777,-0.0010,U
D,2969,-0.0011,U
D,3065,-0.0011,U
D,3161,-0.0010,S
D,3254,0.0043,U
D,3350,0.0457,U
D,3542,0.8610,U
D,3638,2.2062,U
D,3733,4.2924,U
D,3829,6.6247,U
D,3925,8.4977,U
D,4115,9.9520,U
D,4312,10.0218,U
D,4503,10.0074,U
D,4693,10.0070,U
D,4883,10.0074,U
D,5071,10.0092,U
D,5263,10.0789,U
D,5455,10.5147,U
D,5648,11.9120,U
D,5838,13.0871,U
D,6131,5.2961,U
D,6319,0.8264,U
D,6507,0.0290,U
D,6699,-0.0023,U
D,6888,-0.0018,U
D,7082,-0.0006,U
D,7275,-0.0010,U
D,7470,-0.0016,U
D,7662,-0.0017,U
D,7845,0.1144,U
D,8037,1.4470,U
D,8228,5.4665,U
D,8526,9.7822,U
D,8714,10.0224,U
D,8901,10.0073,U
D,9095,10.0059,U
D,9283,10.0064,U
D,9474,10.0066,U
D,9663,10.0066,U
D,9854,10.0066,S
D,10045,10.0070,U
D,10237,10.0993,U
D,10430,10.1133,U
D,10620,7.5685,U
D,10906,1.0274,U
D,11098,0.0541,U
D,11289,-0.0013,U
D,11480,-0.0022,U
D,11672,-0.0023,U
D,11863,-0.0022,U
E,11904,progress: 45 s remaining
D,12054,-0.0022,U
D,12251,-0.0022,S
D,12442,-0.0021,S
D,12637,0.0368,U
D,12819,0.7654,U
D,13114,6.3489,U
D,13304,9.4389,U
D,13497,10.0136,U
D,13687,10.0096,U
D,13882,10.0057,U
D,14061,10.0055,U
D,14253,10.0059,U
D,14445,10.0062,U
D,14636,10.0063,U
D,14827,10.0063,U
D,15019,10.0063,S
D,15212,10.0064,S
D,15496,10.1947,U
D,15687,10.1204,U
D,15881,6.8000,U
D,16073,1.9242,U
D,16272,0.1582,U
D,16453,-0.0008,U
D,16645,-0.0021,U
D,16841,-0.0018,U
D,17035,-0.0015,U
D,17227,-0.0015,U
D,17421,-0.0013,U
D,17609,0.0900,U
D,17895,2.9106,U
D,18079,7.3912,U
D,18274,9.7492,U
D,18467,10.0273,U
D,18660,10.0076,U
D,18854,10.0047,U
D,19046,10.0058,U
D,19227,10.0077,U
D,19421,10.0083,U
D,19614,10.0078,U
D,19808,10.0073,U
D,19991,10.0069,U
D,20277,10.0068,U
D,20473,10.0067,U
D,20667,10.0184,U
D,20863,10.2302,U
D,21042,10.4716,U
D,21239,7.5701,U
D,21434,2.3672,U
D,21617,0.2227,U
D,21810,0.0015,U
D,22008,-0.0012,U
E,22056,progress: 35 s remaining
D,22191,-0.0010,U
D,22477,0.0003,U
D,22675,0.1995,U
D,22859,1.9692,U
D,23054,6.2890,U
D,23248,9.4231,U
D,23446,10.0120,U
D,23626,10.0087,U
D,23824,10.0057,U
D,24007,10.0061,U
