powder_id,trial,angle_plate_deg,rep,tap_index,marginal_mg,cumulative_mg
salt,1,0.0,1,1,2.3,2.3
salt,1,0.0,1,2,2.5,4.8
salt,1,0.0,1,3,2.5,7.3
salt,1,0.0,1,4,2.3,9.6
salt,1,0.0,1,5,1.7,11.3
salt,1,0.0,1,6,2.3,13.6
salt,1,0.0,1,7,1.0,14.6
salt,1,0.0,1,8,1.1,15.7
salt,1,0.0,1,9,0.6,16.3
salt,1,0.0,1,10,1.3,17.6
salt,2,10.0,1,1,3.9,3.9
salt,2,10.0,1,2,4.4,8.3
salt,2,10.0,1,3,2.2,10.5
salt,2,10.0,1,4,3.0,13.5
salt,2,10.0,1,5,1.5,15.0
salt,2,10.0,1,6,1.7,16.7
salt,2,10.0,1,7,1.3,18.0
salt,2,10.0,1,8,1.2,19.2
salt,2,10.0,1,9,0.9,20.1
salt,2,10.0,1,10,2.4,22.5
salt,3,18.0,1,1,18.9,18.9
salt,3,18.0,1,2,8.2,27.1
salt,3,18.0,1,3,5.1,32.2
salt,3,18.0,1,4,4.5,36.7
salt,3,18.0,1,5,3.0,39.7
salt,3,18.0,1,6,2.5,42.2
salt,3,18.0,1,7,4.3,46.5
salt,3,18.0,1,8,1.8,48.3
salt,3,18.0,1,9,2.0,50.3
salt,3,18.0,1,10,2.0,52.3
salt,4,25.0,1,1,17.2,17.2
salt,4,25.0,1,2,11.9,29.1
salt,4,25.0,1,3,6.1,35.2
salt,4,25.0,1,4,4.0,39.2
salt,4,25.0,1,5,4.6,43.8
salt,4,25.0,1,6,3.4,47.2
salt,4,25.0,1,7,2.6,49.8
salt,4,25.0,1,8,1.7,51.5
salt,4,25.0,1,9,3.0,54.5
salt,4,25.0,1,10,1.5,56.0
salt,5,25.0,2,1,17.3,17.3
salt,5,25.0,2,2,8.4,25.7
salt,5,25.0,2,3,6.5,32.2
salt,5,25.0,2,4,4.0,36.2
salt,5,25.0,2,5,5.1,41.3
salt,5,25.0,2,6,3.1,44.4
salt,5,25.0,2,7,1.8,46.2
salt,5,25.0,2,8,1.9,48.1
salt,5,25.0,2,9,2.2,50.3
salt,5,25.0,2,10,1.4,51.7
salt,6,18.0,2,1,11.4,11.4
salt,6,18.0,2,2,6.0,17.4
salt,6,18.0,2,3,7.6,25.0
salt,6,18.0,2,4,4.6,29.6
salt,6,18.0,2,5,4.0,33.6
salt,6,18.0,2,6,3.6,37.2
salt,6,18.0,2,7,3.6,40.8
salt,6,18.0,2,8,3.9,44.7
salt,6,18.0,2,9,2.5,47.2
salt,6,18.0,2,10,2.9,50.1
salt,7,10.0,2,1,8.4,8.4
salt,7,10.0,2,2,2.7,11.1
salt,7,10.0,2,3,3.6,14.7
salt,7,10.0,2,4,1.6,16.3
salt,7,10.0,2,5,2.3,18.6
salt,7,10.0,2,6,2.8,21.4
salt,7,10.0,2,7,1.4,22.8
salt,7,10.0,2,8,3.0,25.8
salt,7,10.0,2,9,2.3,28.1
salt,7,10.0,2,10,2.3,30.4
salt,8,0.0,2,1,2.5,2.5
salt,8,0.0,2,2,1.6,4.1
salt,8,0.0,2,3,1.6,5.7
salt,8,0.0,2,4,1.5,7.2
salt,8,0.0,2,5,1.0,8.2
salt,8,0.0,2,6,2.0,10.2
salt,8,0.0,2,7,1.6,11.8
salt,8,0.0,2,8,1.6,13.4
salt,8,0.0,2,9,0.8,14.2
salt,8,0.0,2,10,1.1,15.3
salt,9,0.0,3,1,4.0,4.0
salt,9,0.0,3,2,1.4,5.4
salt,9,0.0,3,3,2.2,7.6
salt,9,0.0,3,4,1.3,8.9
salt,9,0.0,3,5,1.4,10.3
salt,9,0.0,3,6,2.2,12.5
salt,9,0.0,3,7,1.0,13.5
salt,9,0.0,3,8,1.8,15.3
salt,9,0.0,3,9,0.7,16.0
salt,9,0.0,3,10,1.5,17.5
salt,10,10.0,3,1,5.9,5.9
salt,10,10.0,3,2,3.3,9.2
salt,10,10.0,3,3,2.1,11.3
salt,10,10.0,3,4,2.9,14.2
salt,10,10.0,3,5,2.6,16.8
salt,10,10.0,3,6,2.3,19.1
salt,10,10.0,3,7,2.2,21.3
salt,10,10.0,3,8,2.6,23.9
salt,10,10.0,3,9,1.8,25.7
salt,10,10.0,3,10,2.2,27.9
salt,11,18.0,3,1,20.4,20.4
salt,11,18.0,3,2,7.7,28.1
salt,11,18.0,3,3,4.6,32.7
salt,11,18.0,3,4,4.5,37.2
salt,11,18.0,3,5,3.6,40.8
salt,11,18.0,3,6,3.1,43.9
salt,11,18.0,3,7,2.6,46.5
salt,11,18.0,3,8,2.6,49.1
salt,11,18.0,3,9,2.2,51.3
salt,11,18.0,3,10,2.6,53.9
salt,12,25.0,3,1,23.0,23.0
salt,12,25.0,3,2,9.6,32.6
salt,12,25.0,3,3,6.8,39.4
salt,12,25.0,3,4,4.5,43.9
salt,12,25.0,3,5,4.8,48.7
salt,12,25.0,3,6,3.4,52.1
salt,12,25.0,3,7,2.9,55.0
salt,12,25.0,3,8,2.9,57.9
salt,12,25.0,3,9,2.5,60.4
salt,12,25.0,3,10,1.0,61.4
