powder_id,block,started_utc,started_local,elapsed_s
salt,A,2026-08-06T14:51:23.009468+00:00,2026-08-06 08:51:23 MDT,2.2
salt,B,2026-08-06T14:51:45.172909+00:00,2026-08-06 08:51:45 MDT,24.3
salt,C,2026-08-06T14:52:46.566469+00:00,2026-08-06 08:52:46 MDT,85.7
salt,D,2026-08-06T14:54:58.442541+00:00,2026-08-06 08:54:58 MDT,217.6
salt,E,2026-08-06T14:55:31.242004+00:00,2026-08-06 08:55:31 MDT,250.4
salt,F,2026-08-06T14:58:13.253862+00:00,2026-08-06 08:58:13 MDT,412.4
salt,G,2026-08-06T14:58:13.261260+00:00,2026-08-06 08:58:13 MDT,412.4
